load data...
Start train...
2022-01-14 18:11:44.303266 Epoch [010/200], Step [0120/0253], Total_loss: 2.0336 Loss1: 1.5681 Loss2: 0.4656
2022-01-14 18:12:06.042651 Epoch [010/200], Step [0140/0253], Total_loss: 2.0321 Loss1: 1.5488 Loss2: 0.4833
2022-01-14 18:12:27.315918 Epoch [010/200], Step [0160/0253], Total_loss: 1.9118 Loss1: 1.4720 Loss2: 0.4398
2022-01-14 18:12:48.790975 Epoch [010/200], Step [0180/0253], Total_loss: 2.3087 Loss1: 1.7671 Loss2: 0.5416
2022-01-14 18:13:10.159177 Epoch [010/200], Step [0200/0253], Total_loss: 2.2484 Loss1: 1.7346 Loss2: 0.5138
2022-01-14 18:13:31.590436 Epoch [010/200], Step [0220/0253], Total_loss: 2.2072 Loss1: 1.6878 Loss2: 0.5194
2022-01-14 18:13:52.971402 Epoch [010/200], Step [0240/0253], Total_loss: 2.0029 Loss1: 1.5433 Loss2: 0.4597
2022-01-14 18:14:06.409399 Epoch [010/200], Step [0253/0253], Total_loss: 1.8320 Loss1: 1.4021 Loss2: 0.4299
Epoch: 10, MAE: 0.04496461758508889, bestMAE: 0.0451552954384107, bestEpoch: 9.
Save state_dict successfully! Best epoch:10.
2022-01-14 18:20:15.837856 Epoch [011/200], Step [0001/0253], Total_loss: 1.8648 Loss1: 1.4282 Loss2: 0.4366
2022-01-14 18:20:36.411766 Epoch [011/200], Step [0020/0253], Total_loss: 2.3209 Loss1: 1.7755 Loss2: 0.5454
2022-01-14 18:20:57.812428 Epoch [011/200], Step [0040/0253], Total_loss: 1.6620 Loss1: 1.2855 Loss2: 0.3765
2022-01-14 18:21:19.615888 Epoch [011/200], Step [0060/0253], Total_loss: 2.2423 Loss1: 1.7205 Loss2: 0.5218
2022-01-14 18:21:41.334446 Epoch [011/200], Step [0080/0253], Total_loss: 1.7807 Loss1: 1.3859 Loss2: 0.3947
2022-01-14 18:22:03.032499 Epoch [011/200], Step [0100/0253], Total_loss: 1.7519 Loss1: 1.3482 Loss2: 0.4038
2022-01-14 18:22:24.598240 Epoch [011/200], Step [0120/0253], Total_loss: 2.0050 Loss1: 1.5507 Loss2: 0.4543
2022-01-14 18:22:46.093393 Epoch [011/200], Step [0140/0253], Total_loss: 1.8665 Loss1: 1.4349 Loss2: 0.4316
2022-01-14 18:23:07.247611 Epoch [011/200], Step [0160/0253], Total_loss: 2.0110 Loss1: 1.5250 Loss2: 0.4859
2022-01-14 18:23:28.704415 Epoch [011/200], Step [0180/0253], Total_loss: 1.8510 Loss1: 1.4286 Loss2: 0.4223
2022-01-14 18:23:49.991904 Epoch [011/200], Step [0200/0253], Total_loss: 2.0650 Loss1: 1.5872 Loss2: 0.4779
2022-01-14 18:24:11.339644 Epoch [011/200], Step [0220/0253], Total_loss: 2.1662 Loss1: 1.6671 Loss2: 0.4991
2022-01-14 18:24:32.715418 Epoch [011/200], Step [0240/0253], Total_loss: 1.9679 Loss1: 1.5142 Loss2: 0.4537
2022-01-14 18:24:46.212123 Epoch [011/200], Step [0253/0253], Total_loss: 1.3936 Loss1: 1.0708 Loss2: 0.3228
Epoch: 11, MAE: 0.046239974281027454, bestMAE: 0.04496461758508889, bestEpoch: 10.
2022-01-14 18:31:16.404945 Epoch [012/200], Step [0001/0253], Total_loss: 2.0439 Loss1: 1.5557 Loss2: 0.4882
2022-01-14 18:31:36.645727 Epoch [012/200], Step [0020/0253], Total_loss: 2.2310 Loss1: 1.7113 Loss2: 0.5197
2022-01-14 18:31:58.037783 Epoch [012/200], Step [0040/0253], Total_loss: 2.1254 Loss1: 1.6365 Loss2: 0.4889
2022-01-14 18:32:19.459980 Epoch [012/200], Step [0060/0253], Total_loss: 2.1758 Loss1: 1.6752 Loss2: 0.5006
2022-01-14 18:32:40.891623 Epoch [012/200], Step [0080/0253], Total_loss: 2.3265 Loss1: 1.7743 Loss2: 0.5522
2022-01-14 18:33:02.106210 Epoch [012/200], Step [0100/0253], Total_loss: 2.2458 Loss1: 1.7228 Loss2: 0.5230
2022-01-14 18:33:23.618978 Epoch [012/200], Step [0120/0253], Total_loss: 2.0564 Loss1: 1.5764 Loss2: 0.4801
2022-01-14 18:33:45.190242 Epoch [012/200], Step [0140/0253], Total_loss: 1.8504 Loss1: 1.4262 Loss2: 0.4242
2022-01-14 18:34:03.521384 Epoch [012/200], Step [0160/0253], Total_loss: 2.2082 Loss1: 1.6740 Loss2: 0.5342
2022-01-14 18:34:21.495223 Epoch [012/200], Step [0180/0253], Total_loss: 2.1345 Loss1: 1.6294 Loss2: 0.5050
2022-01-14 18:34:41.702678 Epoch [012/200], Step [0200/0253], Total_loss: 1.7073 Loss1: 1.3156 Loss2: 0.3917
2022-01-14 18:35:02.264320 Epoch [012/200], Step [0220/0253], Total_loss: 2.1812 Loss1: 1.6761 Loss2: 0.5051
2022-01-14 18:35:22.926565 Epoch [012/200], Step [0240/0253], Total_loss: 1.9714 Loss1: 1.5182 Loss2: 0.4532
2022-01-14 18:35:36.038021 Epoch [012/200], Step [0253/0253], Total_loss: 3.2060 Loss1: 2.4073 Loss2: 0.7987
Epoch: 12, MAE: 0.0454577268642067, bestMAE: 0.04496461758508889, bestEpoch: 10.
2022-01-14 18:41:57.112507 Epoch [013/200], Step [0001/0253], Total_loss: 2.1291 Loss1: 1.6213 Loss2: 0.5079
2022-01-14 18:42:17.432706 Epoch [013/200], Step [0020/0253], Total_loss: 1.6931 Loss1: 1.3065 Loss2: 0.3866
2022-01-14 18:42:38.643769 Epoch [013/200], Step [0040/0253], Total_loss: 1.8135 Loss1: 1.3936 Loss2: 0.4199
2022-01-14 18:43:00.527721 Epoch [013/200], Step [0060/0253], Total_loss: 1.8706 Loss1: 1.4355 Loss2: 0.4350
2022-01-14 18:43:21.911684 Epoch [013/200], Step [0080/0253], Total_loss: 2.1628 Loss1: 1.6490 Loss2: 0.5137
2022-01-14 18:43:43.328514 Epoch [013/200], Step [0100/0253], Total_loss: 2.1561 Loss1: 1.6445 Loss2: 0.5116
2022-01-14 18:44:04.739655 Epoch [013/200], Step [0120/0253], Total_loss: 1.9505 Loss1: 1.4977 Loss2: 0.4528
2022-01-14 18:44:26.011142 Epoch [013/200], Step [0140/0253], Total_loss: 1.6413 Loss1: 1.2791 Loss2: 0.3622
2022-01-14 18:44:47.109766 Epoch [013/200], Step [0160/0253], Total_loss: 1.8277 Loss1: 1.4037 Loss2: 0.4240
2022-01-14 18:45:08.483925 Epoch [013/200], Step [0180/0253], Total_loss: 1.6786 Loss1: 1.2812 Loss2: 0.3974
2022-01-14 18:45:30.085345 Epoch [013/200], Step [0200/0253], Total_loss: 1.8149 Loss1: 1.4113 Loss2: 0.4036
2022-01-14 18:45:51.262407 Epoch [013/200], Step [0220/0253], Total_loss: 2.2541 Loss1: 1.7232 Loss2: 0.5309
2022-01-14 18:46:12.636937 Epoch [013/200], Step [0240/0253], Total_loss: 1.8420 Loss1: 1.4166 Loss2: 0.4254
2022-01-14 18:46:26.356928 Epoch [013/200], Step [0253/0253], Total_loss: 2.2250 Loss1: 1.6867 Loss2: 0.5384
Epoch: 13, MAE: 0.04580066840093573, bestMAE: 0.04496461758508889, bestEpoch: 10.
2022-01-14 18:52:51.533003 Epoch [014/200], Step [0001/0253], Total_loss: 1.6153 Loss1: 1.2558 Loss2: 0.3595
2022-01-14 18:53:11.219008 Epoch [014/200], Step [0020/0253], Total_loss: 1.7819 Loss1: 1.3564 Loss2: 0.4255
