load data...
Start train...
2022-01-19 12:35:26.997730 Epoch [009/200], Step [0040/0253], Total_loss: 2.0061 Loss1: 1.5446 Loss2: 0.4615
2022-01-19 12:35:35.666672 Epoch [009/200], Step [0060/0253], Total_loss: 2.3760 Loss1: 1.8255 Loss2: 0.5505
2022-01-19 12:35:44.440915 Epoch [009/200], Step [0080/0253], Total_loss: 2.3186 Loss1: 1.7796 Loss2: 0.5390
2022-01-19 12:35:53.322907 Epoch [009/200], Step [0100/0253], Total_loss: 2.1680 Loss1: 1.6703 Loss2: 0.4977
2022-01-19 12:36:02.137380 Epoch [009/200], Step [0120/0253], Total_loss: 2.2654 Loss1: 1.7407 Loss2: 0.5247
2022-01-19 12:36:11.068064 Epoch [009/200], Step [0140/0253], Total_loss: 2.2889 Loss1: 1.7361 Loss2: 0.5528
2022-01-19 12:36:19.941066 Epoch [009/200], Step [0160/0253], Total_loss: 1.8359 Loss1: 1.4017 Loss2: 0.4342
2022-01-19 12:36:28.867665 Epoch [009/200], Step [0180/0253], Total_loss: 2.1111 Loss1: 1.6369 Loss2: 0.4742
2022-01-19 12:36:37.881086 Epoch [009/200], Step [0200/0253], Total_loss: 2.1683 Loss1: 1.6661 Loss2: 0.5021
2022-01-19 12:36:46.922628 Epoch [009/200], Step [0220/0253], Total_loss: 1.8925 Loss1: 1.4572 Loss2: 0.4352
2022-01-19 12:36:55.803421 Epoch [009/200], Step [0240/0253], Total_loss: 1.8688 Loss1: 1.4374 Loss2: 0.4314
2022-01-19 12:37:01.397362 Epoch [009/200], Step [0253/0253], Total_loss: 2.9731 Loss1: 2.2411 Loss2: 0.7320
Epoch: 9, MAE: 0.047859200288055764, bestMAE: 0.04775052808099798, bestEpoch: 8.
2022-01-19 12:39:42.392076 Epoch [010/200], Step [0001/0253], Total_loss: 2.1610 Loss1: 1.6531 Loss2: 0.5079
2022-01-19 12:39:54.174968 Epoch [010/200], Step [0020/0253], Total_loss: 2.1309 Loss1: 1.6069 Loss2: 0.5240
2022-01-19 12:40:02.851475 Epoch [010/200], Step [0040/0253], Total_loss: 2.4065 Loss1: 1.8487 Loss2: 0.5578
2022-01-19 12:40:11.618469 Epoch [010/200], Step [0060/0253], Total_loss: 2.1057 Loss1: 1.6311 Loss2: 0.4746
2022-01-19 12:40:20.437307 Epoch [010/200], Step [0080/0253], Total_loss: 1.9720 Loss1: 1.5075 Loss2: 0.4645
2022-01-19 12:40:29.242587 Epoch [010/200], Step [0100/0253], Total_loss: 2.2969 Loss1: 1.7666 Loss2: 0.5303
2022-01-19 12:40:38.186276 Epoch [010/200], Step [0120/0253], Total_loss: 1.9043 Loss1: 1.4606 Loss2: 0.4438
2022-01-19 12:40:47.076898 Epoch [010/200], Step [0140/0253], Total_loss: 1.8770 Loss1: 1.4275 Loss2: 0.4495
2022-01-19 12:40:55.987910 Epoch [010/200], Step [0160/0253], Total_loss: 2.1549 Loss1: 1.6674 Loss2: 0.4875
